chart_week,current_week,title,performer,danceability,energy,loudness,speechiness,acousticness,liveness,tempo,valence,time_signature,duration_ms,genres
2023-09-16,9,Vampire,Olivia Rodrigo,0.484,0.53,-5.821,0.0538,0.154,0.263,136.848,0.323,4,219724,['pop']
2023-09-16,10,Calm Down,Rema & Selena Gomez,0.811,0.781,-6.333,0.0428,0.376,0.121,107.007,0.824,4,219813,"['afrobeats', 'nigerian pop']"
2023-09-23,1,Vampire,Olivia Rodrigo,0.484,0.53,-5.821,0.0538,0.154,0.263,136.848,0.323,4,219724,['pop']
2023-09-23,2,Paint The Town Red,Doja Cat,0.868,0.538,-8.603,0.174,0.269,0.0901,99.968,0.732,4,231750,"['dance pop', 'pop']"
2023-09-23,3,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,0.429,0.453,-7.746,0.0459,0.554,0.102,77.639,0.155,4,227196,['classic oklahoma country']
2023-09-23,4,Fast Car,Luke Combs,0.712,0.603,-5.52,0.0262,0.186,0.115,97.994,0.67,4,265493,"['contemporary country', 'country']"
2023-09-23,5,Cruel Summer,Taylor Swift,0.552,0.702,-5.707,0.157,0.117,0.105,169.994,0.564,4,178427,['pop']
2023-09-23,6,Last Night,Morgan Wallen,0.492,0.673,-5.431,0.0347,0.413,0.137,203.812,0.488,4,163855,['contemporary country']
2023-09-23,7,Bad Idea Right?,Olivia Rodrigo,0.631,0.881,-3.545,0.0995,0.00177,0.0639,129.981,0.808,4,184784,['pop']
2023-09-23,8,Snooze,SZA,0.559,0.551,-7.231,0.132,0.141,0.11,143.008,0.392,4,201800,"['pop', 'r&b', 'rap']"
2023-09-23,9,Fukumean,Gunna,0.847,0.622,-6.747,0.0903,0.119,0.285,130.001,0.22,4,125040,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
2023-09-23,10,Dance The Night,Dua Lipa,0.671,0.845,-4.93,0.048,0.0207,0.329,110.056,0.775,4,176579,"['dance pop', 'pop', 'uk pop']"
2023-09-30,1,Slime You Out,Drake Featuring SZA,0.483,0.408,-9.243,0.0502,0.508,0.259,88.88,0.105,3,310491,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2023-09-30,2,Paint The Town Red,Doja Cat,0.868,0.538,-8.603,0.174,0.269,0.0901,99.968,0.732,4,231750,"['dance pop', 'pop']"
2023-09-30,3,Snooze,SZA,0.559,0.551,-7.231,0.132,0.141,0.11,143.008,0.392,4,201800,"['pop', 'r&b', 'rap']"
2023-09-30,4,Fast Car,Luke Combs,0.712,0.603,-5.52,0.0262,0.186,0.115,97.994,0.67,4,265493,"['contemporary country', 'country']"
2023-09-30,5,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,0.429,0.453,-7.746,0.0459,0.554,0.102,77.639,0.155,4,227196,['classic oklahoma country']
2023-09-30,6,Cruel Summer,Taylor Swift,0.552,0.702,-5.707,0.157,0.117,0.105,169.994,0.564,4,178427,['pop']
2023-09-30,7,Vampire,Olivia Rodrigo,0.484,0.53,-5.821,0.0538,0.154,0.263,136.848,0.323,4,219724,['pop']
2023-09-30,8,Last Night,Morgan Wallen,0.492,0.673,-5.431,0.0347,0.413,0.137,203.812,0.488,4,163855,['contemporary country']
2023-09-30,9,Fukumean,Gunna,0.847,0.622,-6.747,0.0903,0.119,0.285,130.001,0.22,4,125040,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
2023-09-30,10,Dance The Night,Dua Lipa,0.671,0.845,-4.93,0.048,0.0207,0.329,110.056,0.775,4,176579,"['dance pop', 'pop', 'uk pop']"
2023-10-07,1,Paint The Town Red,Doja Cat,0.868,0.538,-8.603,0.174,0.269,0.0901,99.968,0.732,4,231750,"['dance pop', 'pop']"
2023-10-07,2,Snooze,SZA,0.559,0.551,-7.231,0.132,0.141,0.11,143.008,0.392,4,201800,"['pop', 'r&b', 'rap']"
2023-10-07,3,Fast Car,Luke Combs,0.712,0.603,-5.52,0.0262,0.186,0.115,97.994,0.67,4,265493,"['contemporary country', 'country']"
2023-10-07,4,Cruel Summer,Taylor Swift,0.552,0.702,-5.707,0.157,0.117,0.105,169.994,0.564,4,178427,['pop']
2023-10-07,5,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,0.429,0.453,-7.746,0.0459,0.554,0.102,77.639,0.155,4,227196,['classic oklahoma country']
2023-10-07,6,Last Night,Morgan Wallen,0.492,0.673,-5.431,0.0347,0.413,0.137,203.812,0.488,4,163855,['contemporary country']
2023-10-07,7,Vampire,Olivia Rodrigo,0.484,0.53,-5.821,0.0538,0.154,0.263,136.848,0.323,4,219724,['pop']
2023-10-07,8,Fukumean,Gunna,0.847,0.622,-6.747,0.0903,0.119,0.285,130.001,0.22,4,125040,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
2023-10-07,9,Calm Down,Rema & Selena Gomez,0.811,0.781,-6.333,0.0428,0.376,0.121,107.007,0.824,4,219813,"['afrobeats', 'nigerian pop']"
2023-10-07,10,Dance The Night,Dua Lipa,0.671,0.845,-4.93,0.048,0.0207,0.329,110.056,0.775,4,176579,"['dance pop', 'pop', 'uk pop']"
2023-10-14,1,Paint The Town Red,Doja Cat,0.868,0.538,-8.603,0.174,0.269,0.0901,99.968,0.732,4,231750,"['dance pop', 'pop']"
2023-10-14,2,Snooze,SZA,0.559,0.551,-7.231,0.132,0.141,0.11,143.008,0.392,4,201800,"['pop', 'r&b', 'rap']"
2023-10-14,3,Cruel Summer,Taylor Swift,0.552,0.702,-5.707,0.157,0.117,0.105,169.994,0.564,4,178427,['pop']
2023-10-14,4,Fast Car,Luke Combs,0.712,0.603,-5.52,0.0262,0.186,0.115,97.994,0.67,4,265493,"['contemporary country', 'country']"
2023-10-14,5,3D,Jung Kook & Jack Harlow,0.853,0.824,-3.287,0.103,0.0322,0.0859,108.044,0.888,4,201812,['k-pop']
2023-10-14,6,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,0.429,0.453,-7.746,0.0459,0.554,0.102,77.639,0.155,4,227196,['classic oklahoma country']
2023-10-14,7,Last Night,Morgan Wallen,0.492,0.673,-5.431,0.0347,0.413,0.137,203.812,0.488,4,163855,['contemporary country']
2023-10-14,8,Fukumean,Gunna,0.847,0.622,-6.747,0.0903,0.119,0.285,130.001,0.22,4,125040,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
2023-10-14,9,Vampire,Olivia Rodrigo,0.484,0.53,-5.821,0.0538,0.154,0.263,136.848,0.323,4,219724,['pop']
2023-10-14,10,Calm Down,Rema & Selena Gomez,0.811,0.781,-6.333,0.0428,0.376,0.121,107.007,0.824,4,219813,"['afrobeats', 'nigerian pop']"
2023-10-21,1,First Person Shooter,Drake Featuring J. Cole,0.475,0.655,-7.342,0.33,0.0306,0.375,163.997,0.245,4,247444,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2023-10-21,2,IDGAF,Drake Featuring Yeat,0.673,0.672,-8.577,0.224,0.0466,0.193,136.902,0.14,4,260111,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2023-10-21,3,Virginia Beach,Drake,0.402,0.514,-7.322,0.0471,0.106,0.181,120.009,0.2,4,251095,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2023-10-21,4,Paint The Town Red,Doja Cat,0.868,0.538,-8.603,0.174,0.269,0.0901,99.968,0.732,4,231750,"['dance pop', 'pop']"
2023-10-21,5,Calling For You,Drake Featuring 21 Savage,0.571,0.55,-6.567,0.106,0.0548,0.179,120.947,0.104,4,285630,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2023-10-21,6,Slime You Out,Drake Featuring SZA,0.483,0.408,-9.243,0.0502,0.508,0.259,88.88,0.105,3,310491,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2023-10-21,7,Snooze,SZA,0.559,0.551,-7.231,0.132,0.141,0.11,143.008,0.392,4,201800,"['pop', 'r&b', 'rap']"
2023-10-21,8,Daylight,Drake,0.566,0.564,-7.88,0.277,0.0149,0.104,139.92,0.0667,4,164143,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2023-10-21,9,Cruel Summer,Taylor Swift,0.552,0.702,-5.707,0.157,0.117,0.105,169.994,0.564,4,178427,['pop']
2023-10-21,10,Fear Of Heights,Drake,0.697,0.32,-9.347,0.214,0.0127,0.18,136.976,0.0658,4,155154,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2023-10-28,1,Cruel Summer,Taylor Swift,0.552,0.702,-5.707,0.157,0.117,0.105,169.994,0.564,4,178427,['pop']
2023-10-28,2,Paint The Town Red,Doja Cat,0.868,0.538,-8.603,0.174,0.269,0.0901,99.968,0.732,4,231750,"['dance pop', 'pop']"
2023-10-28,3,Snooze,SZA,0.559,0.551,-7.231,0.132,0.141,0.11,143.008,0.392,4,201800,"['pop', 'r&b', 'rap']"
2023-10-28,4,IDGAF,Drake Featuring Yeat,0.673,0.672,-8.577,0.224,0.0466,0.193,136.902,0.14,4,260111,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2023-10-28,5,Monaco,Bad Bunny,0.533,0.225,-27.771,0.0379,0.00128,0.11,124.99,0.301,4,222067,[]
2023-10-28,6,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,0.429,0.453,-7.746,0.0459,0.554,0.102,77.639,0.155,4,227196,['classic oklahoma country']
2023-10-28,7,Fast Car,Luke Combs,0.712,0.603,-5.52,0.0262,0.186,0.115,97.994,0.67,4,265493,"['contemporary country', 'country']"
2023-10-28,8,First Person Shooter,Drake Featuring J. Cole,0.475,0.655,-7.342,0.33,0.0306,0.375,163.997,0.245,4,247444,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2023-10-28,9,Last Night,Morgan Wallen,0.492,0.673,-5.431,0.0347,0.413,0.137,203.812,0.488,4,163855,['contemporary country']
2023-10-28,10,Thinkin' Bout Me,Morgan Wallen,0.659,0.789,-5.723,0.0293,0.487,0.115,139.982,0.468,4,177388,['contemporary country']
2023-11-04,1,Cruel Summer,Taylor Swift,0.552,0.702,-5.707,0.157,0.117,0.105,169.994,0.564,4,178427,['pop']
2023-11-04,2,Paint The Town Red,Doja Cat,0.868,0.538,-8.603,0.174,0.269,0.0901,99.968,0.732,4,231750,"['dance pop', 'pop']"
